,query,Response
2972,"Sometimes, I'm fine and can go out or meet people, but other days, my heart races and words physically cannot come out of my mouth. I've always thought it was normal and I was just nervous, but the other day, it took me almost 30 minutes of sitting in my car to find the courage to enter Target by myself.","I would suggest keeping a log of those days when you are having a hard time. Items to write would be what were you doing before you felt this way, did you eat and what, what time of day is it, how much sleep did you get that night, etc... This can help you identify any triggers. Further assessment can be made by a health care professional. It does sound like you are experiencing some symptoms of anxiety."
971,"My girlfriend was abused as a child. Now, if I hug or touch her in any kind of way she says she feels as if she is being abused as a child. What might be going on?","Was your gf always this way with you or did her withdrawal develop suddenly?Also, are there any other changes going on between the two of you in terms of feeling relaxed and at ease with each other, enjoying each other?Its possible her physical withdrawal, due to her sensitive nature about who touches her and the meaning of touch, reflects an underlying emotional hesitation about her feelings toward you.This can be either strong positive or negative feelings.She may be fearful of becoming more intimately attached to you, and withdraws.She may be actually withdrawing and expresses herself through the amount of touch she wants from others.Best way forward as almost always in a relationship, is to have a gentle conversation to open up the tension between the two of you."
529,"I get so much anxiety, and I don’t know why. I feel like I can’t do anything by myself because I’m scared of the outcomes.","Anxiety is simply your system communicating to you that you are in danger. The issue that I see in most of my clients is that they try to reason with this anxiety. You do not reason with sensory states in the body. If your system tells your in danger (your stomache feels like it is knots, your heart is beating out of your chest,) validate by just being present with it. Take your breath to it. Breath in and out of that space. Say ok, I am in danger. I always tell my clients, ""a crying baby wants to be held, not told to shut up."" Listen to your system, validate it like you do a child and see what happens."
2651,"I think I have depression, anxiety, bipolar disorder, and I have anger issues. I told my mom over and over again. She told me she would get me a therapist, but she never did. I just found out that my mom can't afford a therapist for me.","It can be difficult to get counseling if you don't feel supported by family members.  There might be a few options.  If you are in school, I'd recommend talking to a school counselor or school nurse.  They often will be able to help you access free or affordable counseling resources in your community.  In addition, depending on where you live, it's also often possible to call 211 for referrals to free or low cost counseling services in your area.I'd encourage you not to give up. You are on the right track.  "
1030,I snap easy and push people away. I need help before I push my boyfriend away.,"Death of someone with whom we had fond involvement, is sad.   Accepting that a person is permanently gone from this earth, is unsettling and can feel painful.That you had no current contact with this person doesn't exclude the meaning or feelings from within your relationship with this person.     Relationships don't require a time measurement in order to affect us.   Your question acknowledges the process of adjusting to life without the chance to see or hear from this person again.It is normal to grieve so be gentle and not critical of yourself when you feel yourself missing this person."
3505,"I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","Hi there !  As someone who has practiced as a clinical psychologist for 25 years , I would say that crying is NOTHING TO WORRY ABOUT AT ALL ! Almost every single person I have worked with has cried at one point or another.  Starting therapy takes a lot of courage; when you work with a therapist ,once you feel safe ,  you talk about a lot of very private and potentially emotional things that you may have never discussed with anyone before.  I have seen  people cry with sadness , cry with relief at releasing painful things they have held onto for a long time, cry because they feel so relieved that they finally feel heard.   I myself have sometimes cried with clients because some things they talk about are so profoundly moving.   I can assure you that most , if not all , therapists expect clients to cry  and there is nothing to be embarrassed about.   Crying can be very cathartic and can allow us to release a lot of painful feelings we have been stuffing down.   Crying is  often a sign that you are really working things through and getting in touch with feelings that you need to get in touch with in order to heal .So , to summarize , don't worry at all about crying! It will probably feel uncomfortable  at first , but I promise you , you will not be judged for crying in therapy.   And it will be less embarrassing once it happens a time or two and you are assured that your therapist will be there for you and won't judge you !Good luck !!"
629,My daughter seemed to be developing at a normal rate until about the age of 10. She then started to act younger than she is.    Now she only wants to play with younger kids and she doesn't act her age. I don't know why this is happening. Is this normal?,"Your daughter is fortunate to have an observant parent, who is willing to seek out help in this regard. Regression can be indicative of some stress in your child's life, so the issues she is facing should be examined. Seeking advice from your daughter's pediatrician, as well as a practitioner familiar with adolescent issues or perhaps play therapy can equip you with insight into the causes of the behavior, and give you tools to assist your daughter in learning age appropriate social interactions."
3038,"How do therapists classify the type of personality their clients have?  What characteristics do they look at to decide what type of personality the client has? I've read about this online, but I'd like to understand this from a therapist's point of view.","This is a great question, and I am happy to have the opportunity to explain my approach. When I am determining what type of personality a client has, I take my time and really absorb their lens/ point of view to themselves and others. Determining a personality type takes some time getting to know the person, and building rapport. After taking time to get to know them, and learning about their view they have of themselves and others, it is important to pick-up on more specific personality traits, which comprehensively contribute to a personality type. Clinicians, including myself, often witness certain traits that are enduring and consistent, which indicate a type of personality. For example, if a therapist is noticing that a client is exhibiting traits of organization, needing to be on time, planning, and perfectionism, these traits contribute to the ""type A personality"". In addition to utilizing clinical judgment, clinicians often use personality assessments and follow the guidelines of the DSM-5/ ICD-10. "
3012,"My fiancé and I recently had an argument over finances. He gives me the money each month to pay his automobile insurance. He no longer has one of the vehicles on the policy. He realized he was still paying for the coverage and asked why I was allowing him to continue to do that since I was physically paying it for him. My response was that he was giving me the money, and I just made the payment. I didn't think of the coverages. He was angry about it. I still can't figure out that anger.","I'd be more worried generally about a fiancee who assumes you are responsible for tracking what in fact are his responsibilities, than about the anger per se.What you describe holds the seeds of classic abusive behavior, which is blaming the partner for what in fact are the person's own responsibilities.Start by withdrawing yourself from paying his bills.If he is on his own in terms of tracking what and when is due regarding his auto policy, then surely the only one for him to blame will be himself.Stay clear of involving yourself in doing favors for him if the favor involves something that he is the one accountable.Tell him it is so the relationship remains fair for each of you."
1037,I get angry and act out. It scares my wife and child.,"Yes you can..  If you cannot control your temper, who can?  You have more power of your emotions, thoughts and feeling than you are giving yourself credit for.  If this is scaring your wife and child, you need to get control of it immediately.  Try going to an anger management class.  It will help to discover what is the root cause of your anger, what triggers it and how you can control/manage it.  If you can't go to a class, try self help books or even better yet counseling and support of a professional counselor."
1769,"I never get infections or scars or anything, and it doesn't bother me if it gets filled up with blood or something, but I'm concerned.","Hi Houston, The fact that you're concerned says a lot. If I was your therapist I'd ask you questions about your worries and how this is causing a problem in your life. You're causing perhaps permanent changes (damage?) to your body, and it's likely you're trying to express something...pain maybe? A therapist can help you to explore what's going on for you and how to get your needs for self-expression met in a more healthy way. Good luck!"
2551,"I've been going through a rough time lately. I been into nothing but women. I’ve never thought about men until a week ago. I’m very upset and depressed about this. It's not normal to me. I looked at gay porn more than once to prove that I’m not gay. I get the same results each time, and I feel disgust. This is tough on me. I'm scared that I looked too many times. I keep thinking about it and shake all the time.","Are you able to give yourself some peace of mind while you take the time to further address whether or not you are gay?Whether or not and to what degree a person accepts their sexuality, depends on dense factors such as the culture of your family, the beliefs about gay people with which you were brought up, and your own tolerance for being a unique individual.Examining these factors, whether inwardly by yourself, in online blogs and sites, or live with other people, requires patience and effort.The more you are willing to commit to figuring out your own truth, the greater is your chance of finding it!"
293,"I'm almost never happy. Half of the time, I don't feel anything. I find it easy to make myself feel nothing. I know I push people away because it’s easier. I just want answers. I'm sick of feeling this way. It’s ruining my relationships with people.","Maybe you have depression.The name of your condition matters much less than the descriptions you wrote of how you feel.Since you've observed how you sometimes interact with people and realize you aren't happy with the result, you've a very solid starting point for reflecting on your deeper wishes in relating to others.Start with asking reasons of yourself about the puzzling aspects of how you're engaging with others.Theorizing as to ""why"" you feel that pushing people away is ""easier"", and easier than what?Googling the keywords of how you feel, may open a starting point for ideas on knowing yourself and what you wish for."
2059,Does counseling really do anything that can help people?,"Counseling allows us to have a sacred space, a space that is set apart from the outside world, it is a space of non-judgement and exploration. Being that the universe is not made for us and that the the world tends to be a fairly untamed place at times, this sacred space allows us to explore ourselves. It allows for greater reflection upon our attitudes, our behaviors and our feelings. Imagine if you will a small goldfish swimming around the usual fish tank, although I dont attest to know what a goldfish thinks, I would imagine he does not see the world outside of him, he only sees the small fishbowl, oblivious to the outside world, when one comes into the counseling room, one is trying to gain insight that was not previously there. Remember the observer affect, one cannot truly act objectively with the world, we are in a dynamic relationship with life, it reacts to us and we to it, the time in the counseling room allows us to gain an understanding that is beyond the normal limits, allowing us to see what was before hidden, often times in plain sight."
1054,"Whenever I run into a situation that makes me upset or angry, I tend to start cursing and badly offending the person I am confronting. I say mean things to let my anger out. Whenever people tell me stuff about my relationship (like starting rumors or saying negative things about me or my relationship) I lash out not just them but at my boyfriend. I feel like I keep causing drama due to my personality. I want to be a better person and learn to let things not get to me and be happy and graceful. I hurt the ones I love with my words. I want to be better for myself and them.","Congratulations on making your way to Step One, self-observation and deciding to change a feature about how you understand and relate to others.There is extraordinary strength in being willing to notice your effect on others and consider what changes are possible.Start on the inside track of your own heart and mind.  Once you're able to understand what is driving your emotions to the point where the only reasonable way of handling them is to curse and offend people, you'd have gotten a long way in knowing your own expectations of others and how far off the mark from this in your mind, they are.For example, if you expect others to always be accepting, tolerant and happy about situations with your boyfriend, and you're hearing otherwise from people, then you can prepare yourself for possible, less than positive comments about your relationship, or you can ask people to not comment to you about your relationship at all.Basically, the more you know about yourself and are willing to accept your right to ask others to respect your views, the easier and calmer time you'll have in handling comments from others that you're not glad hearing.Also, this is a long process because you'd be trying to change long time and deep patterns of interacting.Be patient with your own learning curve and certainly consider therapy for yourself in order to have some outside guidance and support for the process you're placing yourself."
2030,How does a counselor decide when to end counseling sessions or to terminate working with a client?,"In general, I usually let the client decide when this should occur, sometimes with some clients it will be a joint agreement, but even in that case it should weigh mostly on what the client feels. In short, therapy ends when you feel your done.C"
1970,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counseling about any of this. Do I have too many issues to address in counseling?","You have been through so much and it sounds like you have a lot of things that have complied over the years. Regardless of the struggles you have been through, you do not have too many issues for counseling. Many times when someone starts out their counseling and healing journey, there are multiple things they would like to address and work on. If you decide to start counseling, you and your therapist can decide collaboratively what you would like to process and work on first. Be sure to express to your counselor if any of the above experiences you've been through is causing a lot of distress , as many times the first things addressed are the ones that are presently affecting your life or you emotionally. Often times when we experience negative situations in our life , but do not address them, they bottle up inside us and can manifest in other ways, such as depression or even physical symptoms like IBS or neck pain.  Counseling can give these bottled up emotions and situations a release. Given the situation you shared, not only do I not think that you have too many issues for counseling, but believe that you will be a great candidate and can get a lot from it."
1093,"My husband and I had our first threesome recently. Everyone was drinking and he was on her more then me.    He and I talked about it afterwards and it made me feel better, and now I'm craving more of it. But before it gets close to happening I get this empty feeling. Why am I feeling this way?","Hello, and thank you for your question. Nervousness, when doing something new, especially something sexual that can feel so personal, is very common. Indeed, despite the fact that nervousness can be uncomfortable, it is also part of the excitement of trying something new. Many people who engage in open, polyamorous, and/or other-type relationships, will tell you that difficult feelings, such as jealousy and anger, do show up sometimes. This doesn't prove that there is something wrong with the relationship, it just shows that you retain normal human emotions while in one. And many people who are in polyamorous relationships have written about the work it sometimes takes to make such relationships work. Of course, all relationships take work, so polyamorous and other types of relationships are simply not an exception. There could be several reasons why you are feeling the way you do. One reason could be that you are simply not as comfortable with the idea as you think you are. Some time and good communication with your husband may help you with this. Another reason this may be bothering you is because, on some level, you are aware of the messages society gives us about marriages. They are supposed to be monogamous, heterosexual, etc. etc. Just because you may not agree with these beliefs doesn't mean that you haven't been influenced by them. We all have. Another reason this may be upsetting you is because it may feel a little frightening. Perhaps there are a lot of ""What ifs"" going on in your mind. When you get the ""empty"" feeling, it may be helpful to try to really nail down the emotions that are attached to that feeling. One thing that I do think is very important is that you communicate these feelings to your husband. It may even be a good idea to talk about expectations or ""ground rules"", if you will. It is important that you are both on the same page about what this is, and why you are doing it. If you continue to struggle, I suggest finding a counselor who has experience in sex and sexuality.  I wish you well.Robin J. Landwehr, DBH, LPCC, NCC"
2709,"I'm fine when we start becoming intimate, but out of nowhere, I will get a flashback of what happened to me in the past. I start hysterically crying and freaking out when my boyfriend obviously has done nothing to hurt me."," Sexual intimacy can be very triggering for survivors even when it is both wanted and consensual.  You may want to consider seeing a therapist who specializes in trauma to work through the abuse if you have not already done so. Often times triggers still hold such a powerful effect when the emotions related to the abuse  have not been fully processed.  In the meantime, you may want to consider coming up with a Safe Word to let your partner know that you are being triggered or to communicate your physical boundaries to him.  Often times, the experience of communicating  your physical boundaries to your partner, having those boundaries respected and validated, and having a partner who is understanding and  willing to engage in intimacy in such a way that does not violate your physical boundaries  can reinforce a sense of safety with him. "
245,I am pretty sure I have depression and anxiety. I also have voices in my head. I have problems sleeping too. I've already been diagnosed with attention-deficit disorder and obsessive-compulsive disorder. I have self-harmed in the last and used to be suicidal. How do I tell them this and ask for therapy?,"If you have already been diagnosed with attention-deficit disorder and obsessive-compulsive disorder, can you go back to the people who diagnosed you with those things?It may be that your parents would be open to you talking with someone because it sounds like you have done this in the past. I don't know whether you have a specific reason that you are thinking they may have some hesitation, but if you are comfortable saying that you would really like to talk to someone because you are feeling sad or anxious (or whichever of your concerns you feel comfortable revealing to them), that may be a way to start the process. As for how you tell them about the fact that you have harmed yourself in the past and used to be suicidal, a therapist may be able to work together with you to discuss the best way to tell them about that.I'm not sure if you have told anyone about what you have been experiencing, but if you have some support there, perhaps they would be able to give you feedback about ways to talk with your parents as well.You mentioned that sometimes you hear voices. This can happen for a variety of reasons, but if the voices that you hear are giving you directions and you feel as though you might follow them, that would be a time to ask for immediate help, before you follow through with what they are telling you, perhaps by calling 800-273-8255. They may be able to connect you with local resources and they can definitely talk with you in the moment that you call."
3334,"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?","First and foremost, be gentle and patient with yourself. It is normal to feel a range of emotions after a severe trauma including no emotions at all. Try not to push yourself to feel, just notice the lack of emotion you are experiencing right now. Maybe write about your emotions and the lack of them or talk about it with a safe person. Unfortunately recovering from trauma can take time and it's best done at your own pace. If you aren't feeling there may be a reason you aren't feeling. For severe trauma I always recommend working with a trained trauma professional who has the training to guide you on your path to healing fully."
772,"My roommate has had a drinking problem for a while. She goes out, gets trashed, and then expects everyone to take care of her. The next morning, she apologizes constantly until she feels validated. She also thinks everyone hates her all the time. If I don't seem anything other than happy, she asks me ""Do you hate me? You hate me. Tell me you love me,"" and I feel like I have to pity her because she has also been suicidal before.","It does sound like your roommate may have a drinking problem, and the short answer is that you can't do anything about it, only she can. We can't change what other people say, think, or do. We can only change our reactions. It does sound like your roommate may be having a hard time. You can suggest that she enter counseling or therapy. You can reassure her that you like her (if that's true), but you don't have to pity her."
3401,How does a counselor decide when to end counseling sessions or to terminate working with a client?,"In the best case scenario, it's a mutual discussion and decision. If not,  I've had the discussion initiated both ways, by me, when I sense the client has gone has far as they want, by lack of interest in accepting or completing homework assignments, missing or cancelling appointments, usually at the last minute, lack of participation during sessions.  Client initiates by asking me pointed questions about why the need for homework assignments,, by forgetting their calendar, or their checkbook :) , by suggesting that we make appointments over longer intervals (once a week to once a month, for example).  I rarely have had to terminate a working relationship--that's why I don't charge for the first visit, so we know if we are a good fit before we start working together.  Then I periodically ask whether the client feels we are making progress, moving in the right direction, talking about the most relevant issues etc."
2671,"I have had a crush on this guy for years. I last talked to him a few years ago when we graduated from high school. We left off on a good note. Should I message him and see how he is doing, or is it too late?","You'll only find out whether or not it is ""too late"", by following through with wanting to message him.Regardless of whether the response you receive is what you'd hoped to hear, including not hearing back from him, you will have done yourself a great honor and respect by following through on a wish and curiosity you've had for some time."
258,"I used to be the funny guy of the group—the class clown, if you will. I used to laugh uncontrollably all the time and be able to be social without it feeling awkward. Now I can't laugh at all, and I'm dead inside.","If you look back to when you feel as though you were the ""funny guy,"" I wonder what is different now? It may be that responsibilities have changed or any number of other things.I don't know whether you're also saying that you feel sad or if you're saying that you feel as though you don't have any big changes in your feelings.A lot of us tend to be really busy, and sometimes we over schedule ourselves to the point that we don't have time to have positive time for ourselves. Sometimes even if we are spending time with friends, we're thinking about work and all of the other things we need to do.I wonder if it feels awkward when you're with friends that you trust in an environment that you are used to. Maybe if that is more comfortable for you, it can be a stepping stone to focusing on how you feel better in those moments.It sounds as if you may have had an experience (or more than one) where you felt misunderstood or criticized and now reacting to people feels awkward. If so, try going back to people you trust. Who do you have support from?"
2070,I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,"It depends on your definition of ""normal""!:) I would say that the average client I see feels some level of nervous energy when they come into their sessions, and especially at the beginning. I think that with clients who I work with that have difficult times in relationships, maybe being able to trust people is tougher for them given their life experiences, the expectation would be that they have a harder time moving through those nerves and feeling more at peace in sessions.In my opinion, a competent therapist could help you explore where these nerves are actually coming from (talking about yourself, relating to another, something else?) I encourage all of my clients to bring up whatever emotions are coming up for them in the moment, as it's helpful to the client to recognize the ""present moment"" emotion and then being able to process, learn from, and move through to a more peaceful place, if that is what is being sought."
1798,How does a counselor decide when to end counseling sessions or to terminate working with a client?,"Counseling ends when the client has received the maximum benefit from the therapist. Even if the therapist believes the client is not making progress, the client may feel they are improving and receiving a benefit. And the therapist may see a benefit and the client does not. It is best to have ongoing dialogue with the client to determine when termination is appropriate."
361,"I have anxieties about everyday stressors, i.e. finances, work, relationships, kids, and maintaining a household.","Which one gives you the most anxiety? List from top to bottom which one gives you the greatest anxiety and ask the question how come? From there, we can figure out the underlying factors of your anxiety."
3473,"My fiancé and I come from a strong Christian background but both went off the ""straight and narrow"" once before. He is having a hard time accepting my past, especially  that I'm not a virgin. He has a hard time in general accepting himself and others. 

His insecurities are hurting our relationship. How can I help him let go of my past and decide to live in the present?","You are right that his insecurities are at the root of the issue.  You cannot change that for him.  He will have to do the work to handle those emotions on his own.  What you can do is reassure him in whatever ways possible, but always recognizing that you can't ""fix"" this for him.  When I work with people who struggle with their partner's past experiences, I always frame it like this:  Everything that you've experienced has resulted in you being the person you are today.  The person they claim to love.  If you had not gone through some of those experiences, you would not be in the position you're in now, ready to commit to him and know that you're satisfied with that.  Just as when bad things happen to us, we have to find a way to appreciate the lessons learned your fiance has to accept that you're the person you are today because of what you have gone through.  Celebrate that you have moved through that and have landed in this perfect position with him!Hope that helps, Allison "
1025,"I have anger issues that have worsened over the years because I’ve never dealt with my emotions. My anger has never been expressed physically until the past year. My girlfriend has had to endure these episodes. I love her, and I think I’m about to lose her, if I already haven’t. I throw things at her when I’m angry, and sometimes I hit her. I may not hit her enough to cause harm, but I still physically lash out at her. I don’t want to lose her, and I don’t want the situation to worsen. I am a lesbian in my early 30s, and I have been dealing with anger since my childhood. I'm ready to change. I need help now. I'm about to explode.","Good for you for recognizing that a change has to be made quickly. Regardless of whether or not your girlfriend leaves your relationship, taking control of your anger needs to happen sooner than later. If left unresolved, it will follow you into any relationship you have. Have you talked to a therapist? I would suggest you take that step first. A therapist will help you explore the source of your anger and teach you new, adaptive ways of dealing with your anger. Until you're able to get some professional help, I would advise that you start recognizing when your emotions are becoming escalated and take a time out before the anger turns into aggression. If you feel yourself becoming heated, excuse yourself from the situation, go to a quiet place or on a walk, and practice some deep breathing. Clear your mind of the problem and focus only on your breathing as you inhale slowly counting to four and exhale slowly counting to six. Don't get discouraged if it doesn't work right away. Deep breathing takes practice! Return to the situation or your girlfriend only once you have calmed down and are confident that you are not going to hurt anyone. You might also want to ask your girlfriend to remind you to take a break when she recognizes that your emotions are escalating. Know that with help and support, especially from a therapist, the issues you have can be resolved and new ways of coping can be learned. Good luck!"
3441,"I'm in my late teens and live with my dad.  The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks. 

Sometimes I feel i'm not worth knowing or i'm never going to do anything right.

Are they right, am I depressed?","Although some people managing depression feel sad or ""down"",  it is a possible to have depression without an obvious sad mood.  Many people indicate that they feel numb or flat.  People managing depression often have low motivation. They may stay in bed for long periods of time and only get up for absolutely necessary activities.  People with depression may also feel inappropriate guilt or shame.   If you have been experiencing the symptoms you described for more than two weeks, I recommend that you see a counselor to get a more in-depth evaluation.   The symptoms you are experiencing are typical of depression, and with a bit of support, you could regain energy and improved self-esteem.  The stigma surrounding mental health can make a diagnosis or a label of depression seem scary.  The important thing to remember is that mental health disorders are as important as and as treatable physical health disorders.    Hang in there.  Healing is possible! "
1607,"I am currently suffering from erectile dysfunction and have tried Viagra, Cialis, etc. Nothing seemed to work. My girlfriend of 3 years is very sexually frustrated. I told her that it is okay for her to have sex with other men. Is that really okay?","Hello, and thank you for your question. I completely agree with Dr. Zehner. Many couples are in open-type or polyamorous relationships where one or both partners engage in sexual relationships with others. The key thing about this is that it really does have to be something that both people are okay with. Now, as Dr. Zehner indicated, what may be okay today may not feel okay tomorrow, so good communication is essential. The truth is, even in polyamorous relationships where partners are in agreement, jealousy does sometimes happen. Here is a good article about polyamorous relationships and the issue of jealousy: http://everydayfeminism.com/2016/02/polyamorous-dealing-jealousy/This site has many other articles about polyamory. If you type in ""polyamory"" in their search box, you will find some good information. I wish you well,Robin J. Landwehr, DBH, LPC, NCC"
2397,"It's not entirely true to say I enjoy being sad, but I always find a way to feel that way. I listen to sad music, read tragic stories, and, in a twisted way, like how bad it makes me feel. I focus on negative aspects of my life even if they aren't legitimate or I just make it seem negative.","It sounds like you are noticing that you are drawn towards sad and negative content and it's hard to understand why. This may sound counter-intuitive, but sometimes we do things that on the surface may look problematic (or even cause us some real problems) because it serves us in some unseen way. A simple example would be somebody who is addicted to a substance; their addiction may be causing serious problems in their life, and they may even know it, but the addiction serves them by helping them to avoid painful feelings that they anticipate having if they quit using. Now I am not saying that what you describe is an addiction, it is just a really illustrative example of the unseen benefit.One thing I would be wondering about is what is the unseen benefit of seeking out sad and negative content? I'd also be wondering what your relationship is to other feelings. These are things you may benefit from exploring with a competent therapist."
3113,I am a survivor of multiple sexual abuse/rape experiences. Triggers are having an effect on my daily life and my sexual relationship with my partner. I'm trying to learn to cope with them.,"I'm glad you're willing to keep optimistic about life improving and offering better relationships than some of the ones in which you greatly suffered.One suggestion is to develop patience with yourself and the process of regaining your willingness to trust other people.Sexual intimacy engages all of who we truly are.   Being cautious as to who and how much you allow someone into your life, is natural for anyone recovering from trauma.Allow yourself to withdraw when situations feel dangerous.   Your sense of danger is most likely on higher alert than had you not been victimized.Be attentive and cooperate with your own sense of readiness to engage in conversation, discussions and sex with your partner.Explain all this to your partner so the person can develop their own patience with your recuperation process."
335,"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have more conversions in my head than I do with actual people.    I don't know what's wrong with me and why I feel this way. What should I do?","I think you have a lot of insight into what’s going on - being able to pinpoint the issue you’re facing and describe the responses it evokes. It sounds like you may be dealing with social anxiety and it may be beneficial to talk to a professional counselor about this. A therapist can help you develop tools (or coping strategies) for dealing with these situations. From what you’ve shared, you might benefit from animal assisted therapy. Equine therapy is a great approach, or even just working with a therapist who uses animal assisted therapy integrated with a traditional approach to counseling."
3353,I need help dealing with stress. How can I handle it all and feel less stressed out?,"In case you feel some relief to know you're feeling the tone of our times.We live with crumbling of our values which then gives rise to insecurity everywhere.  If someone doesn't know what their values are then its difficult to do anything, and right now everyday we hear uncertainty in what used to be our basic assumptions.You're more normal for noticing and feeling stressed than if you imagine life felt fine the way it is!One road to take is to accept that there are no clear roads forward.  This means to change long term goals into shorter ones.Also, in general the more focused you can be as to your particular wishes, motivations, interests, and people about whom you care, the greater will be your sense of confidence that your personal world is as secure as it can be for right now.And, it helps too to know that nothing lasts forever, eventually all of what is up in the air will start to land in a much more clear way."
434,"I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?","People do cry in therapy sometimes, but it's not at all necessary to cry in order for most kinds of therapy to be helpful. When you start counseling you don't yet know your counselor very well, so it's normal to keep your feelings in check until you feel comfortable and a bit more relaxed with your counselor and with the situation. Sometimes, though, there are emotions that have been waiting and waiting to finally find someone who will listen with a kind ear. If you feel safe right away in the situation with your counselor, you might just cry in spite of your fears about it. Your therapist is used to people expressing how they feel and will keep strict confidentiality, so even though it's embarrassing, finally experiencing someone truly listening with empathy and kindness may just be worth it. It's okay too to let your counselor know right at the beginning that you're kind of freaked out about getting too emotional in front of another person."
1127,"My husband had an emotional affair with his ex-wife in November. She invited him to dinner, alone, with their daughter. I wasn’t aware of this until after 11pm when I asked where he was. He had been drinking, and I told him not to come home that night. The next morning, we talked about going to counseling. He went out that night with friends and said his ex-wife wasn't going. I found out in April that she did go. I gave him the chance to get everything out in the open. I found out that he stayed that second night with her. I asked if they slept in the same bed, and he said yes, both nights. His daughter wasn't there the second night. He claims they didn't have sex, but what else should I think?","My answer is going to be super simplistic but I believe this may be what you need. Ask your husband if he wants to stay married to you.  If he says yes, then it would be helpful to go to a marriage counselor and work this out with a professional.  If he says no, then you can file for divorce."
2279,"I'm a teenager. I get random spurts of anger, like complete, pure rage. I figured it was hormones, but others notice it too. I get self-destructive. I used to cut but stopped. Now when I get mad, I bite my arms and fingers, pull my hair, scratch my face, or punch my thighs. Basically, I do things I can hide instead of breaking anything in my room and having to explain it to my mom. I don't live in a bad household. I have a great family, a great relationship with my boyfriend, and a good job. I have no idea what this is and I don't know how to control it. It's over any little thing. Tonight, it was because I couldn't get my earrings out. This happens maybe two to three times on a good week, and it's always over stupid, petty things.","Hi. I'm glad you wrote. In general, when a small thing bothers us (and this happens to all of us), it's because the small thing triggers an emotion in us that we have felt ""too much"" or ""too intensely"" in the past, and we don't know how to manage that emotion effectively...we just want to avoid it as quickly as possible. Cognitive Behavioural Therapy with a qualified therapist can help you to understand what is being triggered in you and learn how to manage emotions productively. You say that your behaviours are self destructive, and I agree. It sounds like you have developed a habit of channelling your distress towards self-harm, and this is a separate and potentially more serious problem. This is a choice you make that points to shame being an issue for you. Again, a good therapist can help you learn what's behind your shame and self-harm. Your feelings are normal, and you can learn more healthy ways to deal with them with qualified help. "
400,"When I'm around people, I sometimes think someone has made a comment to me or asked me to do something. I will be focusing on something else and then randomly think I hear something about me. I never know if it was actually said.","It sounds like you are having difficulty knowing if people are saying things to you, or if you only thought someone was talking to you, and this is anxiety producing. It's understandable that it could be confusing and/or a bit scary to be unsure if people are speaking to you or not. It's hard to say exactly what is going on from just this description, but if you can work with a competent therapist, you may be able to get more insight into what is happening, get clarity about your social interactions, and develop some ways to deal with the anxiety."
454,"My son was diagnosed with autism a few years ago and I stopped working so that I could take care of him. I also was dealing with an abusive relationship (mentally, physically, and emotionally). Now I live like a recluse and I always feel nervous around people.
   How can I feel more comfortable around other people?","There's a lot of layers there to your situation, and I'm focusing on two layers that may be contributing to your feelings of discomfort around others.  One layer is the daunting news that your son has autism.  Many parents can feel overwhelmed and distraught with this diagnosis.  The vast array of treatments available is daunting in and of itself at times to wrap one's head around.  Taking time to reflect or seek out therapy regarding how this diagnosis has impacted you may be helpful.  Some parents feel their individual identity gets lost in the diagnosis because they have dropped everything to help their child, and others may experience guilt.  If either of these or other feelings come to the forefront for you, it may be worth working through them with a therapist.  A support group list is available through www.autismspeaks.org and may help connect you with others raising children with autism.A second layer is the abusive relationship you were involved in.  The trauma you experienced in this relationship may have a very meaningful impact on your ability to trust and to be intimate with others.  Engaging with a therapist can help facilitate the healing process, as well as paving the way for more comfortable and trusting relationships."
